GEOID,NAME,LANDAREA,WATERAREA,NIGHTPOP,POPDEN,DAYPOP,PCTDAYPOP,WORKERS_WORKING,MALE,FEMALE,MEDAGE,MALE_0_TO_5,MALE_5_TO_10,MALE_10_TO_15,MALE_15_TO_18,MALE_18_TO_20,MALE_20,MALE_21,MALE_22_TO_25,MALE_25_TO_30,MALE_30_TO_35,MALE_35_TO_40,MALE_40_TO_45,MALE_45_TO_50,MALE_50_TO_55,MALE_55_TO_60,MALE_60_TO_62,MALE_62_TO_65,MALE_65_TO_67,MALE_67_TO_70,MALE_70_TO_75,MALE_75_TO_80,MALE_80_TO_85,MALE_85_PLUS,FEMALE_0_TO_5,FEMALE_5_TO_10,FEMALE_10_TO_15,FEMALE_15_TO_18,FEMALE_18_TO_20,FEMALE_20,FEMALE_21,FEMALE_22_TO_25,FEMALE_25_TO_30,FEMALE_30_TO_35,FEMALE_35_TO_40,FEMALE_40_TO_45,FEMALE_45_TO_50,FEMALE_50_TO_55,FEMALE_55_TO_60,FEMALE_60_TO_62,FEMALE_62_TO_65,FEMALE_65_TO_67,FEMALE_67_TO_70,FEMALE_70_TO_75,FEMALE_75_TO_80,FEMALE_80_TO_85,FEMALE_85_PLUS,PCTWHITE,PCTBLACK,PCTASIAN,PCTHISPAN,PCTMINOR,PCTNOHIGH,PCTUNIVDEG,PCTBADENG,PCTPUB2WRK,TIME2WORK,WORKERS_LIVE,HHMEDINC,MEDFAMINC,PERCAPINC,PCTPOPPOV,PCTFAMPOV,PCTUNEMP,PCTHUVAC,MEDVALHOME,PCTNOVEH,PCTNOHINS,PCTB2010,PCTB2000,PCTB1990,PCTB1980,PCTB1970,PCTB1960,PCTB1950,PCTB1940,PCTBPRE
48041,"Brazos County, Texas",586.1382126094793,5.100507801580548,242311,413.40249584007626,248474,0.5062787167496969,122349,122218,120093,26.8,6740,7470,6304,4212,9874,7141,5846,10973,9664,8285,8108,6213,5469,5168,4928,1843,2776,1862,2232,3052,1740,1169,1149,6564,6953,6523,4019,9835,5642,6121,9023,8933,8042,7159,6743,5542,5357,5101,2047,2981,1901,2419,3626,1976,1630,1956,0.6323980339316003,0.10498491607892337,0.05978267598251833,0.2740734015376933,0.3676019660683997,0.11200037188834053,0.4300888658180381,NA,0.017454770798547157,18.609184106062358,116186,58553,90901,34320,0.24266464055062684,0.12186416068403647,0.04712079781244973,0.09659214885049491,296000,0.059975627696597755,0.12208739390128891,0.26500109098843555,0.19189494773173585,0.14194751353817467,0.1706107551623589,0.12128815980005157,0.04293535397615694,0.0318370261638863,0.020153531827108086,0.014331620812092119
48043,"Brewster County, Texas",6183.763301992133,8.517806646208399,9503,1.5367664536801653,8896,0.48350453829012446,4046,4751,4752,40.9,193,185,285,53,123,32,7,230,407,537,332,185,215,246,204,165,154,295,202,255,110,195,141,194,298,311,69,86,76,77,70,371,482,287,246,197,239,214,138,80,187,237,440,276,95,82,0.6889403346311691,0.005892875933915606,0.018625697148268967,0.4207092497106177,0.3110596653688309,0.10784585528139728,0.4546714721375104,NA,0,14.264774313634248,4653,56212,76000,38712,0.08927190365705447,0.04026354319180088,0.03037237362180154,0.16325840797701538,227000,0.0573621490607958,0.15369134625569325,0.1487240155484198,0.13131654554672975,0.08500929525097177,0.12168328544870712,0.14534392428595572,0.1324995774885922,0.07740408991042758,0.0704749028223762,0.08754436369781984
48045,"Briscoe County, Texas",900.0007231693737,1.5709173169914301,1301,1.4455543940214826,1195,0.47876602564102566,438,680,621,49.2,69,26,27,23,0,1,9,15,33,63,8,58,33,70,44,35,26,18,13,46,26,24,13,13,61,26,25,10,7,0,11,23,25,48,43,19,43,36,19,32,23,29,53,32,28,15,0.8370484242890085,0.06072252113758647,0,0.2605687932359723,0.1629515757109915,0.17280163599182005,0.2310838445807771,NA,0,NA,544,45417,64643,42063,0.16795665634674922,0.14035087719298245,0.010238907849829351,0.3486454652532391,90300,0.014466546112115732,0.19830899308224442,0.024734982332155476,0.048292108362779744,0.007067137809187279,0.08716136631330977,0.2226148409893993,0.16725559481743227,0.22732626619552415,0.08362779740871613,0.13191990577149587
48047,"Brooks County, Texas",943.3545692103593,0.2863437977318814,6943,7.35990498865308,6865,0.497175550405562,2410,3531,3412,38.5,48,446,116,155,23,73,0,380,122,252,502,49,183,153,135,59,213,62,37,214,153,51,105,126,431,105,25,0,31,0,20,229,303,286,129,360,43,205,111,133,141,132,197,259,126,20,0.24081809016275385,0.005761198329252484,0,0.9010514186950885,0.7591819098372461,0.2040692989524577,0.16962127316680098,NA,0,17.547649301143583,2488,47764,64250,31217,0.19401852132989222,0.1337708228167592,0.199438202247191,0.2335221421215242,81000,0.24756466241182398,0.213768115942029,0.11791967044284243,0.08290422245108137,0.04943357363542739,0.14881565396498456,0.10607621009268794,0.08419155509783728,0.18202883625128732,0.21138002059732236,0.01725025746652935
48049,"Brown County, Texas",944.45235035838,12.500260232865944,38347,40.602366001258744,38762,0.5026909958629991,16983,19082,19265,41.8,997,1079,1168,742,554,87,318,819,1133,1140,1349,1125,1088,1199,1070,592,961,562,592,1021,650,400,436,949,854,1233,797,528,273,204,639,972,1155,1345,1025,1095,1176,1262,543,814,580,842,1045,754,433,747,0.7476464912509453,0.03671734425118001,0.0059457063134013095,0.22471118992359246,0.2523535087490547,0.11739098354607835,0.20168966280528297,NA,0.009053597295992274,18.932868904369855,16568,57470,71901,31180,0.15317705626521513,0.12994468218348815,0.05255179383527034,0.22207211888184558,158900,0.0653887256211595,0.15470888113764422,0.08271848695832901,0.09321417437389587,0.10511275070144446,0.1705808999272576,0.1961446534344799,0.1079704873739998,0.09576015795489971,0.09446118674010184,0.05403720253559181
48051,"Burleson County, Texas",659.0823644742756,17.777508621661568,18857,28.61099160958661,16638,0.4687420763487815,5913,9183,9674,44.1,421,469,830,212,268,118,39,211,473,417,496,833,472,598,755,232,364,294,349,664,344,200,124,510,611,646,439,128,35,12,349,511,560,610,508,541,690,700,156,473,363,415,636,333,303,145,0.6963461844407912,0.10616747096568914,0.00954552686005197,0.22675929363101235,0.3036538155592088,0.137104506232023,0.2346780736042481,NA,0,29.57767614692011,8132,70000,86934,38034,0.12691689008042895,0.09023292229399099,0.049573621375781696,0.17527925670738073,191000,0.039746835443037976,0.1258373975025457,0.21139993736298152,0.13665309531266312,0.16849357970560602,0.1911473013884539,0.10105438981104499,0.06159306816995511,0.05292828061384278,0.03841737133312454,0.03831297630232801
48053,"Burnet County, Texas",994.8359432553356,26.937915542465834,52652,52.925309300456476,49880,0.48648226895018143,21508,26015,26637,44.1,1408,1553,1569,990,567,186,188,1026,1427,1486,1367,1605,1365,1551,1813,877,1128,744,1130,1693,1346,540,456,1251,1225,1781,998,498,368,112,915,1419,1460,1991,1357,1171,1517,1887,826,1344,758,1155,1926,1289,700,689,0.7930373015270076,0.012459165843652663,0.0071602218339284355,0.2339512269239535,0.20696269847299242,0.10921429886629666,0.2853986374516664,NA,0.0019769357495881385,29.401540729468827,24280,78732,91938,44029,0.0796339828648029,0.05686482192506289,0.026263102108114476,0.1794560751320681,344000,0.03734083647288855,0.18925192966165633,0.20888280180003913,0.23924867931911564,0.15636861670905888,0.11985912737233419,0.14846409704558794,0.06311876345137937,0.03103110937194287,0.013030718059088241,0.01999608687145373
48055,"Caldwell County, Texas",544.5411901522324,1.9111551868193983,48669,89.37615901268012,39266,0.4465343719793029,12106,24553,24116,38.4,1550,1244,1882,1130,835,401,413,986,1702,1705,1579,1841,1405,1480,1394,650,955,600,748,918,563,345,227,1510,1517,1421,1018,564,282,495,830,1671,1558,1524,1838,1447,1523,1388,838,647,631,797,884,685,568,480,0.4706897614497935,0.04873738930325258,0.007602375228584931,0.5697261090221701,0.5293102385502064,0.17980424043447576,0.19342763339572275,NA,0.001813194476730671,NA,21509,69758,81786,31050,0.1318159348335375,0.07549795598851874,0.034117286383742826,0.05317938801046525,240500,0.035862317534690935,0.21446629815314736,0.1908770333295416,0.18598566715959505,0.13792515072232966,0.14418154931179616,0.11250142190877033,0.06449778182231829,0.05266750085314526,0.03725400978273234,0.07410988510977136
48057,"Calhoun County, Texas",506.93179273417485,525.7339115084703,19868,39.1926493559231,25162,0.5587830335332001,14933,10346,9522,41.4,687,700,581,503,92,121,97,562,611,626,746,428,719,542,760,256,391,271,367,432,313,327,214,476,546,666,348,61,50,73,459,664,521,432,611,576,705,658,503,282,192,316,464,313,114,492,0.5553654117173344,0.02602174350714717,0.0414737265955305,0.4943124622508556,0.44463458828266555,0.1464682940921566,0.20056333959266215,NA,0,NA,9639,79959,92388,44362,0.07663675300836223,0.057692307692307696,0.07374015374394989,0.1996676820825256,171200,0.05132641291810842,0.06830461820776837,0.12452690852026216,0.11557278685498015,0.0808640265854334,0.14908151020031385,0.1638511954213976,0.1548047632234838,0.16089725837718083,0.040339702760084924,0.010061848056863288
48059,"Callahan County, Texas",899.3722144658585,1.8914307711078198,14241,15.834378437472408,11099,0.43800315706393056,3261,7012,7229,44.1,396,357,565,281,252,30,9,250,335,412,418,385,514,393,352,280,364,74,230,571,302,103,139,361,371,460,311,357,2,50,171,300,386,346,581,378,413,584,270,322,182,327,424,200,208,225,0.8346323994101538,0.01158626500947967,0.005758022610771715,0.11221122112211221,0.16536760058984623,0.07805949291275703,0.2399680574965063,NA,0,26.491665234576388,6403,72436,86802,35002,0.09609908883826879,0.06239412761151891,0.04703655162370759,0.1988071570576541,145500,0.026531780874212638,0.15478802463019323,0.12035479431105674,0.1364122954580211,0.0775347912524851,0.1209665086404649,0.16302186878727634,0.0709588622113473,0.12417800886985778,0.06530050466432176,0.12127236580516898
