data_id,data_county,data_name,state_abbrev,daytime_age_18+
1384015,48459,Upshur TX,TX,31812
1383817,48063,Camp TX,TX,10826
1383865,48159,Franklin TX,TX,11062
1384010,48449,Titus TX,TX,34707
1383957,48343,Morris TX,TX,10517
1383804,48037,Bowie TX,TX,95872
1383908,48245,Jefferson TX,TX,269837
1383966,48361,Orange TX,TX,70114
1383906,48241,Jasper TX,TX,29160
1383988,48405,San Augustine TX,TX,6878
1383987,48403,Sabine TX,TX,9063
1383961,48351,Newton TX,TX,8838
1383995,48419,Shelby TX,TX,23668
1383968,48365,Panola TX,TX,21474
1383887,48203,Harrison TX,TX,60462
1383940,48315,Marion TX,TX,7759
1383819,48067,Cass TX,TX,26029
1384027,48483,Wheeler TX,TX,5102
1383797,48023,Baylor TX,TX,3242
1384029,48487,Wilbarger TX,TX,11964
1383790,48009,Archer TX,TX,6175
1384028,48485,Wichita TX,TX,130280
1383891,48211,Hemphill TX,TX,3316
1383933,48295,Lipscomb TX,TX,3053
1383824,48077,Clay TX,TX,6934
1383954,48337,Montague TX,TX,15283
1383834,48097,Cooke TX,TX,37441
1383876,48181,Grayson TX,TX,125412
1383814,48057,Calhoun TX,TX,21892
1383805,48039,Brazoria TX,TX,322575
1383793,48015,Austin TX,TX,24142
1384024,48477,Washington TX,TX,33503
1384022,48473,Waller TX,TX,54689
1383864,48157,Fort Bend TX,TX,702829
1383955,48339,Montgomery TX,TX,582272
1383806,48041,Brazos TX,TX,258889
1383878,48185,Grimes TX,TX,21443
1383930,48289,Leon TX,TX,13757
1384021,48471,Walker TX,TX,81855
1383939,48313,Madison TX,TX,11730
1383898,48225,Houston TX,TX,19587
1383886,48201,Harris TX,TX,5198528
1383873,48175,Goliad TX,TX,5464
1383981,48391,Refugio TX,TX,5815
1383844,48123,DeWitt TX,TX,18156
1384020,48469,Victoria TX,TX,85945
1383990,48409,San Patricio TX,TX,62409
1383934,48297,Live Oak TX,TX,10746
1383792,48013,Atascosa TX,TX,42183
1384032,48493,Wilson TX,TX,35906
1383798,48025,Bee TX,TX,27743
1383913,48255,Karnes TX,TX,14741
1383969,48367,Parker TX,TX,127267
1384034,48497,Wise TX,TX,61776
1383946,48309,McLennan TX,TX,269518
1383911,48251,Johnson TX,TX,152514
1383894,48217,Hill TX,TX,30925
1383932,48293,Limestone TX,TX,18918
1383856,48139,Ellis TX,TX,162854
1383960,48349,Navarro TX,TX,46376
1384005,48439,Tarrant TX,TX,2164381
1383847,48121,Denton TX,TX,735500
1383842,48113,Dallas TX,TX,3232624
1383828,48085,Collin TX,TX,1093717
1384026,48481,Wharton TX,TX,34751
1383943,48321,Matagorda TX,TX,29112
1383869,48167,Galveston TX,TX,311595
1383821,48071,Chambers TX,TX,45606
1383931,48291,Liberty TX,TX,76396
1383885,48199,Hardin TX,TX,44710
1383989,48407,San Jacinto TX,TX,20719
1384013,48455,Trinity TX,TX,10928
1383972,48373,Polk TX,TX,46276
1384014,48457,Tyler TX,TX,17330
1383788,48005,Angelina TX,TX,88299
1383866,48161,Freestone TX,TX,15910
1383786,48001,Anderson TX,TX,53758
1383892,48213,Henderson TX,TX,72276
1383914,48257,Kaufman TX,TX,118676
1383984,48397,Rockwall TX,TX,94199
1383901,48231,Hunt TX,TX,89838
1384019,48467,Van Zandt TX,TX,52779
1383975,48379,Rains TX,TX,10671
1383897,48223,Hopkins TX,TX,35427
1383846,48119,Delta TX,TX,4110
1383916,48261,Kenedy TX,TX,38
1383851,48131,Duval TX,TX,9574
1383910,48249,Jim Wells TX,TX,36627
1383922,48273,Kleberg TX,TX,27929
1383816,48061,Cameron TX,TX,404295
1383893,48215,Hidalgo TX,TX,856137
1383809,48047,Brooks TX,TX,5832
1384030,48489,Willacy TX,TX,16659
1383963,48355,Nueces TX,TX,358083
1383789,48007,Aransas TX,TX,21866
